CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
02400,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN JUAN TLIHUACA,1,$113,$3,$915
02410,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PRADOS DEL ROSARIO,1,$113,$3,$915
02419,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,TRABAJADORES DE PEMEX,1,$113,$3,$915
02420,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,EX-HACIENDA EL ROSARIO,1,$113,$3,$915
02430,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PRESIDENTE MADERO,1,$113,$3,$915
02440,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PROVIDENCIA,1,$113,$3,$915
02450,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,LAS TRANCAS,1,$113,$3,$915
02450,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,MIGUEL HIDALGO,1,$113,$3,$915
02459,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,TEZOZOMOC,1,$113,$3,$915
02460,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,LA PRECIOSA,1,$113,$3,$915
02470,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,AMPLIACION PETROLERA,1,$113,$3,$915
02479,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,LAZARO CARDENAS,1,$113,$3,$915
02480,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PETROLERA,1,$113,$3,$915
02490,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN MATEO,1,$113,$3,$915
02500,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,UNIDAD CUITLAHUAC,1,$113,$3,$915
02510,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PANTACO,1,$113,$3,$915
02510,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,EL JAGÜEY,1,$113,$3,$915
02519,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,EL JAGÜEY,1,$113,$3,$915
02520,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,ESTACION PANTACO,1,$113,$3,$915
02525,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,GRANJAS PANTACO CAMPAMENTO FERROCARRILERO,1,$113,$3,$915
02530,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,JARDIN AZPEITIA,1,$113,$3,$915
02540,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,HOGARES FERROCARRILEROS,1,$113,$3,$915
02600,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PRO-HOGAR,1,$113,$3,$915
02630,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,COLTONGO,1,$113,$3,$915
02640,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,MONTE ALTO,1,$113,$3,$915
02650,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,TRABAJADORES DE HIERRO,1,$113,$3,$915
02660,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,EUZKADI,1,$113,$3,$915
